book	id	star	time	likenum	body
天才在左 疯子在右	gy9261	allstar40	2015-05-16	22	有虚构成分却标榜“精神病人访谈手记”确实降了许多感情分，但仅从内容来说阅读体验还是不错的，自己理解或不理解的奇妙念头被人那样执着地相信，发展出自成体系的逻辑，坚定地生活在那样的世界里。感谢这些故事，不论真假。
天才在左 疯子在右	saintini	allstar30	2015-12-31	7	亦真亦假,如梦似幻…倒是种下了一棵“疯种”——试着寻找不同的维度,来触摸这个世界…
天才在左 疯子在右	ruwang	allstar50	2010-02-03	3	很出色
天才在左 疯子在右	lainyung	allstar50	2014-07-29	10	非常精彩，精彩过头，肯定不是完全真实的报告文学。
天才在左 疯子在右	ayilacanoe	allstar10	2011-03-02	14	这书有一部分对人有严重的负面影响，慎看。
天才在左 疯子在右	51984412	allstar20	2013-03-20	10	这不行啊这个。根本不是从科学的角度去探讨精神病人的生理和心理状况，而只是用猎奇的态度把他们当作异类，采访外星人的心态这是。一股子蓬莱鬼话味儿。
天才在左 疯子在右	canny-leon	allstar50	2011-11-28	6	正常人也没见得有多高明。
天才在左 疯子在右	47432514	allstar30	2012-05-29	5	看到标签里的精神病学、量子物理我笑了。这本书的出发点不错，内容真实性有待考究，戏剧性、虚构成分大于学术成分。看看还是可以的，也有启发。但其尴尬定位令它注定高不到哪去：它既非虚构，也不真实。只能说句：呵呵哈~本书告诉我，疯子很大时候不全都是天才，更多的是自以为自己很特别，但又没有真正智慧去探究世界的人。
天才在左 疯子在右	moyistudio	allstar50	2015-04-17	7	其实我们都有病 我们这个社会就是个巨大的精神病院 我们都逃无可逃
天才在左 疯子在右	moshou	allstar50	2011-11-27	6	才知道自己有邪教教主气质。
天才在左 疯子在右	z.misa	allstar40	2014-04-16	5	不成神便是魔，思维是一堵墙，世界有多大，可能在墙的另一边。。。
天才在左 疯子在右	is4dog	allstar30	2012-01-10	3	真好看，我暗自希望这是他编出来的，而不是什么真实记录
天才在左 疯子在右	kaolaxiaowu	allstar40	2011-05-04	6	太神奇了这本书。。觉得他们不是精神病人，而是科学家。。
天才在左 疯子在右	xiaoqinssky	allstar20	2012-11-21	5	没什么意思，适合精神空虚的人看。这些精神病人应该不叫病人，他们只是有不同于大众的世界观
天才在左 疯子在右	1528521	allstar10	2014-11-08	3	补标记。这个书所有的桥段我都在其他地方读过，所以在我看来，就是本炒冷饭但又不给出处的不合格学术书籍。强调一下，访谈精神病人绝对是莫须有的。
天才在左 疯子在右	glory3700	allstar40	2015-05-19	6	有共鸣。精神病人归根到底都是因为孤独。
天才在左 疯子在右	sabrina89	allstar50	2012-04-27	4	当我们很严肃的面对这个世界的时候，这个世界却和我们开着玩笑；当我们为了自身的进步和创造而欢呼的时候，自然界却变出新的花样来嘲弄我们的无知；当我们每掌握一门新技术的时候，科学总会有拉开另一个陌生领域的帷幕。这一切好像一个永无止境的梦一样，没有最离奇的，只有更离奇的。面对这样的情况，我很理解那些对于宗教狂热的人们，因为只有那样，才能克服对未知的恐怖。
天才在左 疯子在右	Summer_zhou7	allstar20	2016-07-09	3	说是访谈就玷污了访谈的科学性 说是精神病学就玷污了这个学科
天才在左 疯子在右	eowynlost18	allstar50	2011-08-02	4	这个世界到底是怎样的？到底怎样才是界定正常和不正常的界限？如果你认真思考这样的问题别人可能会觉得你疯了，但那些精神病人确可以用所有的时间去思索这样的问题不管答案是什么。看这本书会总是会觉得自己是在看科幻或者奇幻，一个果冻和四维虫子的宇宙。
天才在左 疯子在右	seoyoungeun	allstar50	2010-07-29	2	对于从小就觉得自己生活的世界是另一个世界的电视盒子的我来说，这是一本极其危险地书。迫不及待地想要尝试苹果的滋味了，早晚会成为大家认为的精神病。
天才在左 疯子在右	basten1988	allstar30	2010-07-18	6	更多的是启发把
天才在左 疯子在右	48513899	none	2012-04-05	2	不知道好在哪里 感觉很虚假
天才在左 疯子在右	ysyang	allstar10	2016-05-01	2	垃圾书，摆出一副纪实的面孔然后往里塞各种作者自己的私货。“访谈手记”这个副标题本身就带着鸡贼的味道，你说它情节俗套，他说我这是真实病人的访谈，你说真有这样的病人？找来我看看，他说你看我这是手记，手记允许自由发挥呢
天才在左 疯子在右	freeofnature	allstar50	2011-11-08	3	优秀的科幻短篇集。。。
天才在左 疯子在右	IsaacFan	allstar30	2010-12-23	2	这怎么让我觉得像是个科幻的东西，难道疯子都是科幻迷？
天才在左 疯子在右	Soniawoolf	allstar40	2010-12-10	4	大部分都是牛掰的天才，认真读了每一个案例，玛雅文明的那个人和物理学的那个人彻底让我折服，萨满族的和重生的也很神奇。
天才在左 疯子在右	xiaochanzi	allstar40	2015-06-03	2	很精彩的对话录。其实有的时候，人只是在一个临界值～
天才在左 疯子在右	2265139	allstar30	2011-12-13	1	算是有趣的书，如果少点做作和美化，我会很喜欢的。
天才在左 疯子在右	151135671	allstar50	2017-02-24	6	天才都是孤独的。
天才在左 疯子在右	maxineY	allstar50	2012-02-09	4	常用标签:心理学   精神病学   心理   哲学   精神病   高铭   社会学   中国   量子物理   社会科学
天才在左 疯子在右	akkkkkkkkkki	none	2012-05-20	2	大半夜大看得我有点毛骨悚然。。。。。
天才在左 疯子在右	54245479	allstar40	2015-04-06	2	为神马要管超越了所在人群世界观的人叫疯子，或者判定有病。跟书里这些逻辑完美，知识储备强大，信念坚定的“精神病”人相比，所谓正常人简直太他妈平庸了！
天才在左 疯子在右	1317648	allstar40	2015-09-19	3	通俗短篇奇幻／科幻小说集，三星半，特别好的TV动画剧本胚子，干嘛非要自称纪实作品来挨骂？还是精神病这么敏感严肃的话题……类似这种的还有巫师唐望系列，人野人宇宙人，什么的，明明挺好看的小说非特么说自己是真的，收集梳理一下都可以写个文学小野史出来了吧（艾柯要是还活着，这个事最适合他来干了）
天才在左 疯子在右	sikongyu	allstar10	2011-10-07	3	1、精神病不是炫耀用的噱头。2、记录者相当无知。3、文字差的可以。
天才在左 疯子在右	4628982	allstar30	2014-08-18	2	用访谈来写小说。
天才在左 疯子在右	xiaomao58	none	2015-06-05	3	所有的患者都比医生正常，我觉得
天才在左 疯子在右	xgui	allstar40	2013-06-20	5	这其实是本哲学书。
天才在左 疯子在右	amhooo	allstar40	2012-01-28	2	不可否认的是，本书中描述的疯子大多是对量子物理、哲学等深刻命题思考过度走火入魔，抑或自己产生了特立独行的令人费解的非正常世界观。从正常人的角度无法对这种思维模式进行推翻或逆证，因为它们的推导是经过了精神病人缜密的思维和一定方向上可行的解释形成的。福柯说，人类必然会疯颠到这种地步，即不疯癫也只是另一种形式的疯癫。我们现在迷恋疯子还不算太晚。豆友说得精准，疯子和天才一线之差，差别就在粉丝数量上。详情参见文革时期的毛太祖。最后，这本书若是真，作者很牛；若假，更牛。
天才在左 疯子在右	aaaaaaaaaaa	allstar50	2014-08-05	1	作为一个神经病我要向大家强烈推荐这本书，记载了几十个神经病的案例，太神奇了，开启了另外无数个世界。我的推荐语是：神经病真多。
天才在左 疯子在右	ladymuse	allstar50	2013-04-05	5	很久之前买的书，最近才看，看了才发现tmd以前看过！！！！！！！！！！
天才在左 疯子在右	er-mao	allstar20	2016-06-20	5	很早以前听过这本书，以为是一本严肃专业的心理学著作。可是看完发现作者就是个半吊子，而且很不真诚，顶多算个猎奇的业余爱好者。明明有很多虚构成分，还要标榜“国内第一本精神病人访谈手记”，这样圈钱的手段实在太low。作者不是学者，而是商人。所以看看得了，别当真。怎么豆瓣评分竟然这么高，是骗了多少人啊
天才在左 疯子在右	effy1029	allstar50	2011-03-03	1	看着人心惶惶，背后发寒，但止不住思考这类事情
天才在左 疯子在右	nipperbeta	allstar30	2012-05-01	1	表示对这个作者很无语。但是里面的故事还是很精彩，虽然量子力学混沌理论平行空间时空扭转之后的平衡神马的看起来很玄乎，但大多是常识。
天才在左 疯子在右	chrisyan	allstar50	2015-09-13	2	看第三遍了
天才在左 疯子在右	qianjielu	allstar40	2012-10-10	1	赞一个！！
天才在左 疯子在右	fuxiu	allstar30	2012-04-11	1	看了个头好棒！想到最爱的梦旅人了呢！←看到后面就没啥气了掰的太多了，有个能把人看成动物的少女最萌了！
天才在左 疯子在右	chenghao23	allstar40	2012-12-17	3	粗略的读过，对其中几个故事印象深刻。最喜欢《苹果的味道》，描写的细致而传神，道教把那种行为称作辟谷。
天才在左 疯子在右	yuminshuiqi	allstar20	2013-10-02	1	烂尾书。一开始还以为可以把人的思维拐走的那种邪书，越到后面漏洞越多。而且不负责任的口吻也越来越强烈。
天才在左 疯子在右	nkernerazzurri	allstar10	2015-01-25	2	简介说得像是纪实访谈才去看的，没想到只是科幻小说。。。
天才在左 疯子在右	1119306	allstar30	2015-08-18	1	越到后面就越扯淡！！还有什么灵魂才能感受到的大风！！！/(ㄒoㄒ)/~~
天才在左 疯子在右	se7en_up	allstar50	2013-10-01	1	想挑战一下自己的三观么？来看看这本书吧。说实话，有点羡慕精神病人了，他们看看世界的方式或许才是正确的。
天才在左 疯子在右	marchpanda	allstar40	2011-08-28	4	什么才是真实
天才在左 疯子在右	53477033	allstar50	2013-02-10	4	如果不举着辩证唯物主义看这书，它真就成了三流恐怖故事。如果辩证的看待每一个故事，似乎很容易陷入同被采访者一样的癫狂之中。印象最深的《死亡周刊》和《双面人》两篇极具画面感，和恐怖电影一个路子。
天才在左 疯子在右	QingAIAliur	allstar50	2010-05-26	1	我应该学着认同所有不同的存在。然后质疑默念坚持。让正在流逝的我们充满意义。
天才在左 疯子在右	anchoretic	allstar40	2011-11-16	1	这本书当年想看的时候评价并不高，后来不知道怎么就高了，大学毕业的时候很多人都喜欢听我讲很多关于疯子们的故事，但是我发现这本书中的半个故事跟我很像，嘿嘿~
天才在左 疯子在右	JiDuowansheng	allstar40	2011-08-15	2	特别是前世和伪装的文明那段，值得一看
天才在左 疯子在右	63230793	allstar50	2013-12-19	2	用豆瓣阅读器读完的一本书。有点可惜的是看完这本书不久我就看了电影《这个男人来自地球》，结果可想而知。但丝毫不影响这本书带给我的惊艳程度。其中几个章节至今还留在脑中。
天才在左 疯子在右	3976831	allstar50	2010-11-01	1	我想研究相对论、量子物理神马的了= =
天才在左 疯子在右	livewithdreams	allstar50	2014-05-29	3	非常棒 什么是正常 什么是不正常？对错的边界在哪里？
天才在左 疯子在右	4344664	allstar20	2016-01-23	2	一本哗众取宠的段子合集。如果作者不那么言之凿凿的宣传这些都是“真实”的其实还不至于让人反感，但是跟科学和心理分析没什么关系，觉得作者编故事写段子的能力不错，有没有考虑做个段子手啥的？
天才在左 疯子在右	fate7	allstar50	2010-10-02	2	没看一个章节就习惯性的休息一下。。
天才在左 疯子在右	fudatou	allstar40	2017-02-16	1	不当真，就挺好
天才在左 疯子在右	nwwfewx	allstar50	2011-05-05	0	我想想，自己也是挺懒的...
天才在左 疯子在右	bigAnut	allstar40	2015-06-21	1	看哭了你信不信！
天才在左 疯子在右	lookingforsj	allstar50	2011-01-20	1	记得以前推荐过那个贴。。。精神病人的世界。
天才在左 疯子在右	ekamiao	allstar50	2010-09-20	1	他们真的不是精神病，只是世界观不同。谁有资格要求一个无害精神病人非要保持和大家思想一致呢？他为什么一定要和别人一样？
天才在左 疯子在右	outset	allstar50	2011-11-04	1	其实每则故事看下去，很多"病人"逻辑条理清晰，堪称那个领域的天才，只不过他们思考的程度我们的科技还打不到所以觉得他们是错误的。还有一些天赋异能的，除了那些伤害到人的，其他真的没有理由入院。亦或许如其中那个老板说的，富人不会被判成精神病人，但是穷人就会。
天才在左 疯子在右	synge951357	allstar40	2011-07-31	2	有意思 我两口气就看完了= =
天才在左 疯子在右	cici0617	allstar50	2013-01-19	1	狂赞！精神病人才拥有真正的人生~
天才在左 疯子在右	lwj01030963	allstar20	2013-01-01	2	没觉得里面的观点多奇特，好吧，也许是我本身就不那么正常，但是作者的文笔呀。。。唉，还有就是觉得里面有很多扯淡的东西
天才在左 疯子在右	gingerbreadx	allstar40	2012-05-06	1	我对于他人需要更多的尊重和理解
天才在左 疯子在右	aranya1017	allstar20	2013-08-19	1	严重误导大众吧！
天才在左 疯子在右	gu_lu	allstar50	2015-11-28	4	共鸣引发的共振崩塌了世界观。废墟中隐约浮现一条路，清晰地指向一个地方，二院。
天才在左 疯子在右	wnovic	allstar40	2014-04-08	1	z在网上下的好像版本不太对= = 有很多的新的认识 不过真实性有待考证 很多地方太夸张了 被伪装的文明那篇shock到了
天才在左 疯子在右	sjzqzkn	allstar30	2013-06-28	1	1我是在天涯莲蓬鬼话看完的那会儿还没出版2这书可以当猎奇小说看千万不能太当真3豆瓣上居然打着心理学的标签啊哈哈哈
天才在左 疯子在右	cancan226	allstar40	2011-11-15	0	有启发
天才在左 疯子在右	jandydwon	allstar40	2012-05-17	0	作為一個九型人格第五型的我表示，其實好多他們的觀點我也都想過 這種感覺好神奇
天才在左 疯子在右	qiweiming750	allstar30	2010-11-22	1	沅仔想用这个对我洗脑，但我觉得里面的故事良莠不齐。
天才在左 疯子在右	Ricci.lee	allstar50	2013-01-25	1	粗糙翻了一遍（不敢细看，我这个人特别容易接受暗示┬┬﹏┬┬），震撼力就不用说了，不过我倒是想起了另外一点东西…………一切学术的根源都是哲学问题。而对于我这种没什么文化，又没有胆子去相信唯心主义的绝对唯物主义者来说，大学马哲就是一切哲学问题的最高版本了……所以…………自打看完这书，我满脑子都是张起灵打开青铜门，发现门后有一本硕大的马哲书……为了研究终极，小哥决心在门后闭关十年专心看马哲_(:з」∠)_………………从门后面出来就去入党吧小哥（诚恳）
天才在左 疯子在右	hideinthecrowd	allstar40	2010-06-19	0	非常有趣！
天才在左 疯子在右	MonisaDuu	allstar50	2011-11-19	1	这是一本很伟大的书，不是任何人都有机会见到这么多经典的病人，然后以一个精神科以外的思考角度来思考精神病这个社会边缘性的话题。很多故事都很经典，是不是可以理解为，看着本书越有共鸣的人，思考方式越边缘化，罹患精神疾病的可能性也越大呢？而且都是聪明的人。实际上，精神病和学者的关系在于，前者进入了某个理论的死圈子，不肯接受其他观点。而学者在于不断反思、不断校验自己的理论。
天才在左 疯子在右	hocci	allstar40	2012-10-18	0	虚构
天才在左 疯子在右	MadeInSing	allstar40	2011-02-28	0	这书看得我觉得我跟精神病人之间的距离不是很远了，比如说我围脖的签名就跟这里其中一个精神病人所述完全一致。但是我与天才的精神病人还是有很大的差距的，必须承认作为一个天才的精神病人是承受着很大的精神压力的，有时候他们也身负责任感和使命感，虽然很多时候这些压力是自己强加给自己的。这个书看的人很容易被带进精神病人的世界，不自觉的要跟着他们的思维走。
天才在左 疯子在右	daisynormal	allstar40	2014-03-09	1	恕我是弱智，理解不了。
天才在左 疯子在右	yunjianhualuo	allstar30	2015-12-22	2	很难评价这本书哎，看的时候有小时候读卫斯理小说的感觉，又要不断提醒自己：这是民科、这是民科！！！！
天才在左 疯子在右	tuiblio	allstar40	2010-05-01	0	有一些有趣的故事，不过作者文笔一般，加工的成分不少，有几篇简直就是科幻小说……
天才在左 疯子在右	hilotus	allstar50	2013-11-05	0	科学也是一种信仰，也不过是此一时彼一时的东西。今日这些皆为疯子的呓语，明日呢？。。。。一切皆有可能。
天才在左 疯子在右	tifaqu	allstar50	2013-03-27	0	读就好了，别去想真假
天才在左 疯子在右	Blena	allstar40	2014-03-16	0	幾年前好友就推薦這本書給我 一直嫌棄書籍裝幀做的這麼丑的書內容好不到哪裡去吧 直到她買了一本送給我 才發現是本裝幀很醜內容紮實的好書 我一直對這個群體都保有好奇心 其實不是因為太過於膽小 我也可能成為其中一員 (主要是自己知識貯備不足吧...) 我們所認知的世界其實還很年輕 有很多的未知和無解 不知道能否在有生之年 看到這個世界分崩離析 被瓦解被重新組成 那該多有意思 保持旺盛的好奇心 保不准哪天 就出大事了 哈哈哈哈哈
天才在左 疯子在右	superguanhe	allstar40	2012-11-21	0	有点小说的感觉。清新的不正常空气扑面而来。
天才在左 疯子在右	tear_mask	allstar40	2014-07-10	0	有很多观点都十分认同啊
天才在左 疯子在右	nothingbut	allstar40	2011-11-12	0	刚开始看很激动，第二天接着看不知为何就觉得很催眠……其实跟蹲在平行宇宙、靛蓝联邦之类的小组多扒拉一下帖子差不多。这个书就相当于一个神棍精选集吧，挺有意思的。
天才在左 疯子在右	zzqcat13	allstar30	2012-08-31	0	一般喜欢吧。。。。可能期待太高了
天才在左 疯子在右	shanyuping	allstar40	2011-02-18	0	有趣
天才在左 疯子在右	sungdebbie	allstar50	2010-05-10	0	心理学！
